idea,dataset_id,dataset_name,provider,url,data_type,geography,coverage_start,coverage_end,update_frequency,formats,access,auth_required,license,fetchable,download_url,notes
dengue,opendengue,OpenDengue global dengue database,OpenDengue (LSHTM-led collaboration),https://opendengue.org/,Aggregated dengue case counts by admin unit and time period,102 dengue-affected countries incl. Bangladesh,1990,ongoing,Versioned releases (v1.2 = 56M+ cases),CSV,Open download from opendengue.org and the OpenDengue GitHub org,no,CC BY 4.0 (confirm on download),True,https://opendengue.org/data/OpenDengue_extract_V1_2.csv,"Compiled from ministry of health sites, peer-reviewed papers and disease databases. Filter to Bangladesh on the country column."
dengue,healthmap,HealthMap outbreak alerts,HealthMap (Boston Children's Hospital),https://www.healthmap.org/,"Near-real-time outbreak signals from ProMED, news and eyewitness reports",Global,2006,ongoing,Continuous,"HTML, JSON (undocumented endpoints)",Site scrape or partner access; feeds WHO outbreak intelligence,partner agreement for bulk access,Terms of use apply,False,,"Use for leading signal ahead of official counts, not as ground truth."
dengue,dghs_dengue_press_release,DGHS daily dengue press release,"Directorate General of Health Services, Bangladesh",https://dghs.gov.bd/,Daily hospital admissions and deaths by division and hospital,Bangladesh,2019,ongoing,Daily during season,"PDF, HTML",Published as daily PDFs; needs a parser,no,Government publication,False,,Official ground truth to calibrate against. Lags real infection curve.
flood,google_flood_hub,Google Flood Hub forecasts,Google Research,https://sites.research.google/floods/,Riverine flood forecasts up to 7 days ahead,80+ countries; launched in India and Bangladesh,2018,ongoing,Continuous,"Web UI, API","Free for governments, aid organisations and individuals",no (viewer),Google terms,False,,Bangladesh-proven: used in anticipatory cash-relief pilots with IRC.
flood,google_flood_forecasting_api,Google Flood Forecasting API,Google Research,https://developers.google.com/flood-forecasting,Programmatic gauge-level flood forecasts and thresholds,Flood Hub coverage area,2023,ongoing,Continuous,JSON,"Free, but pilot access is applied for and approved by email",yes (approved API key),Google API terms,False,,The alert layer would consume this directly - no model to train.
flood,google_inundation_history,Inundation History dataset,Google Research,https://sites.research.google/floods/,Historical satellite-derived inundation extents,Global flood-prone basins,1999,2020,Static release,Raster / tabular,Public research dataset,no,Confirm on download,False,,Training data if you model inundation yourself instead of consuming forecasts.
flood,google_grrr,Google Runoff Reanalysis & Reforecast (GRRR),Google Research,https://sites.research.google/floods/,Modelled historical and reforecast river runoff,Global,1980,2023,Static release,NetCDF / tabular,Public research dataset,no,Confirm on download,False,,Long training record for a custom risk model.
flood,ffwc,FFWC river water level bulletins,"Flood Forecasting and Warning Centre, BWDB",http://www.ffwc.gov.bd/,"Observed river gauge levels vs danger levels, daily bulletins",Bangladesh river gauge network,,ongoing,Daily (more often in monsoon),"HTML, PDF",Public website; needs a parser,no,Government publication,False,,Official national ground truth; pair with Flood Hub forecasts.
flood,glofas,GloFAS global flood awareness system,Copernicus Emergency Management Service,https://global-flood.emergency.copernicus.eu/,Global river discharge forecasts and reanalysis,Global,1979,ongoing,Daily,"NetCDF, GRIB via CDS API",Free Copernicus/CDS account,yes (free account),Copernicus open licence,False,,Independent cross-check against Flood Hub.
road_safety,figshare_bd_road_accidents_2025,Integrated Bangladesh road accident dataset (2007-2024),figshare (multi-agency compilation),https://figshare.com/,"Accident records with location, severity and vehicle details",Bangladesh,2007,2024,Static release (2025),CSV / XLSX,Open download via figshare article and API,no,Usually CC BY on figshare - confirm on the article page,False,,"Integrates ARI (BUET), BRTA, Dhaka Metropolitan Police and Military Police records plus primary field collection - the multi-source cross-check the black-spot model needs. Resolve the article ID first."
